NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2066;742/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Godkowo;Klekotki;zagrożenia;54.040136 ;19.887582;32;04.04.2020;07.04.2020;16.04.2020;P/20/17079;IPT+;1;odstrzelony;1. samica - 12 m - 29 kg;;
2067;743/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Pasłęk;Piniewo;zagrożenia;53.9659781;19.651435;32;04.04.2020;07.04.2020;16.04.2020;P/20/17079;IPT+;1;odstrzelony;1. samiec - 24 m - 46 kg;;
2068;744/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Elbląg (Próchnik);objęty ograniczeniami;54.2384424;19.43934467;30;02.04.2020;07.04.2020;16.04.2020;P/20/17077;RT-PCR+;18;padły/padłe;1. samica - 1 m-c, 4 kg        2. samica - 1 m-c, 5 kg          3. samica - 1 m-c, 3 kg         4.samica - 1 m-c, 3 kg        5.samica - 36 m - 50 kg     6.samica - 1 m-c, 3 kg      7.samiec - 48 m -60 kg     8.samica - 1 m-c, 4 kg     9.samica - 48 m - 70 kg    10.samica - 48 m - 70kg   11.samiec - 1 m-c, 3 kg     12.samica - 1 m-c, 3 kg        13.samica - 1 m-c, 4 kg         14.samica - 1 m-c, 4 kg         15.płec nieokreślona, 18 m -35 kg                                    16. płeć  nieokreślona, 12 m - 30 kg                              17.płeć  nieokreślona, 12 m - 30 kg                          18.płeć  nieokreślona, 12 m - 30 kg  ;14;;;4;;
2069;745/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Milejewo;Jagodnik;objęty ograniczeniami;54.213350;19.474516;32;05.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samica - 24 m - 48 kg;;
2070;746/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Milejewo;Jagodnik;objęty ograniczeniami;54.217565;19.476920;32;01.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samica - 24 m - 43 kg;;
2071;747/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Tolkmicko;Pogrodzie;objęty ograniczeniami;54.279779;19.615426;32;04.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samiec - 14 m - 40 kg;;
2072;748/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Tolkmicko;Pagórki;objęty ograniczeniami;54.2574068;19.500694;32;04.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samica - 12 m - 40 kg;;
2073;749/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Zajazd;objęty ograniczeniami;54.204379;19.435234;32;03.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samiec - 18 m - 60 kg;;
2074;750/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Zajazd;objęty ograniczeniami;54.20207;19.43193;32;03.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samiec - 14 m - 40 kg;;
2075;751/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Zajazd;objęty ograniczeniami;54.203977;19.434376;32;30.03.2020;07.04.2020;20.04.2020;P/20/17563;"RT-PCR+IPT+";1;odstrzelony;1. samica - 12-m -35 kg;;
2076;752/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Milejewo;Ogrodniki;objęty ograniczeniami;54.25517850775;19.5420297;32;31.03.2020;07.04.2020;20.04.2020;P/20/17563;"RT-PCR+IPT+";1;odstrzelony;1. samica - 24-m -40 kg;;
2077;753/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Młynary;Błudowo;objęty ograniczeniami;54.2238526;19.7079900;32;04.04.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samiec - 36-m -50 kg;;
2078;754/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Milejewo;Majewo;objęty ograniczeniami;54.2237583;19.6049981;32;31.03.2020;07.04.2020;20.04.2020;P/20/17563;IPT+;1;odstrzelony;1. samiec - 12-m -43 kg;;
2079;755/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bartoszyce;Krawczyki;zagrożenia;54.177727;20.784977;32;08.04.2020;08.04.2020;16.04.2020;P/20/17075;RT-PCR+;1;odstrzelony;samica - 24 m-ce , 38 kg;;
2080;756/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bartoszyce;Tromity;zagrożenia;54.24795;20.905702;32;04.04.2020;06.04.2020;16.04.2020;P/20/17068;IPT+;1;odstrzelony;samiec -24 m-ce , 33 kg;;
2081;757/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bartoszyce;Minty;zagrożenia;54.180141;20.821268;32;05.04.2020;06.04.2020;16.04.2020;P/20/17068;IPT+;1;odstrzelony;samica ,36 m-cy ,57 kg;;
